model,perturbation,severity,accuracy,confidence
fc,clean,0,0.9818,0.992
fc,gaussian_noise,0.1,0.9773,0.9844
fc,gaussian_noise,0.2,0.946,0.9506
fc,gaussian_noise,0.3,0.8325,0.8769
fc,gaussian_noise,0.4,0.6712,0.8071
fc,rotation,10,0.9701,0.9867
fc,rotation,20,0.9217,0.9718
fc,rotation,30,0.8038,0.9418
fc,rotation,45,0.5119,0.8947
fc,occlusion,6,0.7657,0.9526
fc,occlusion,10,0.478,0.8975
fc,occlusion,14,0.2623,0.9096
cnn,clean,0,0.9916,0.9957
cnn,gaussian_noise,0.1,0.9906,0.9943
cnn,gaussian_noise,0.2,0.9872,0.9894
cnn,gaussian_noise,0.3,0.9677,0.9596
cnn,gaussian_noise,0.4,0.8632,0.8585
cnn,rotation,10,0.9831,0.9898
cnn,rotation,20,0.9537,0.9768
cnn,rotation,30,0.8602,0.948
cnn,rotation,45,0.5882,0.8847
cnn,occlusion,6,0.8607,0.9409
cnn,occlusion,10,0.5939,0.891
cnn,occlusion,14,0.3386,0.7885
